customer_id,transaction_date,revenue
CUST_020,2024-01-01,571.0791250617235
CUST_015,2024-01-01,705.2675184898633
CUST_011,2024-01-01,558.8869625603689
CUST_006,2024-01-02,360.62229996041617
CUST_002,2024-01-02,536.2943407349051
CUST_010,2024-01-03,213.00796330133034
CUST_016,2024-01-03,
CUST_015,2024-01-03,286.28777206798145
CUST_018,2024-01-04,409.96192248411324
CUST_004,2024-01-04,642.1159731569958
CUST_014,2024-01-04,419.952679423627
CUST_004,2024-01-05,
CUST_002,2024-01-05,473.5571507111362
CUST_006,2024-01-05,680.1339157924292
CUST_010,2024-01-05,617.8298186747368
CUST_018,2024-01-06,898.4015136908064
CUST_013,2024-01-07,548.6125954092192
CUST_001,2024-01-08,442.2376579375525
CUST_012,2024-01-08,571.4063881140457
CUST_008,2024-01-08,695.5491902597876
CUST_011,2024-01-08,365.5497225306047
CUST_003,2024-01-09,483.2018269239588
CUST_001,2024-01-10,
CUST_003,2024-01-10,617.6312281480907
CUST_005,2024-01-10,292.89244635916214
CUST_004,2024-01-11,457.879056270987
CUST_015,2024-01-12,381.611250695312
CUST_002,2024-01-13,611.556692565684
CUST_010,2024-01-13,538.5675305084419
CUST_007,2024-01-14,547.1769343794757
CUST_001,2024-01-14,-544.4180415596865
CUST_001,2024-01-14,539.1582908269834
CUST_010,2024-01-15,427.53159818730603
CUST_012,2024-01-15,414.52574774023947
CUST_015,2024-01-15,622.6810268324847
CUST_017,2024-01-16,
CUST_017,2024-01-16,685.5524109404691
CUST_002,2024-01-16,286.02816729116716
CUST_002,2024-01-16,385.60595536772723
CUST_005,2024-01-17,525.2989080789941
CUST_020,2024-01-17,576.8635598557405
CUST_003,2024-01-18,581.5233036863654
CUST_020,2024-01-18,391.95530107117804
CUST_004,2024-01-18,459.50993463864637
CUST_019,2024-01-18,675.3811470428934
CUST_003,2024-01-19,630.997545363414
CUST_007,2024-01-19,704.5829786625658
CUST_005,2024-01-20,880.8744074403999
CUST_005,2024-01-20,592.6461268266718
CUST_009,2024-01-20,682.5606195470166
CUST_009,2024-01-20,526.2249517987207
CUST_004,2024-01-21,317.47176614611413
CUST_016,2024-01-22,615.496603989619
CUST_016,2024-01-23,690.2584283605853
CUST_014,2024-01-24,631.8010322286343
CUST_006,2024-01-24,464.06082377092855
CUST_006,2024-01-24,289.03920992276767
CUST_017,2024-01-25,494.82055158577873
CUST_017,2024-01-25,-466.4805822011224
CUST_012,2024-01-25,607.1000741138138
CUST_001,2024-01-26,361.0930071182783
CUST_020,2024-01-26,423.0552023546567
CUST_001,2024-01-26,534.6430584417699
CUST_010,2024-01-27,378.6594662914458
CUST_002,2024-01-27,567.46610577331
CUST_017,2024-01-27,766.8386515828942
CUST_007,2024-01-28,699.6321991958129
CUST_004,2024-01-28,648.2303915756167
CUST_013,2024-01-28,-524.7534197164008
CUST_020,2024-01-28,371.6106623255948
CUST_017,2024-01-29,201.2693320202879
CUST_020,2024-01-29,563.9038800251003
CUST_013,2024-01-30,749.5654684172376
CUST_020,2024-01-30,389.11453528173394
CUST_017,2024-01-31,767.193661553955
CUST_019,2024-01-31,398.3876498427865
CUST_005,2024-01-31,527.5783271614338
CUST_003,2024-02-01,586.6845702648252
CUST_014,2024-02-02,604.8638572789984
CUST_010,2024-02-03,589.9844950566509
CUST_010,2024-02-04,645.8949300348187
CUST_019,2024-02-04,731.6712258061689
CUST_001,2024-02-04,591.1757810502206
CUST_005,2024-02-04,654.8769189241822
CUST_003,2024-02-05,427.0350850921459
CUST_001,2024-02-05,-531.139739192858
